GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab01-recordando-po-vh,cs.ing.software.lab1,Prueba,23,0,0,0,6,0,3,0,3,0
lab01-recordando-po-vh,cs.ing.software.lab1,Camion,0,76,0,8,0,17,0,7,0,3
lab01-recordando-po-vh,cs.ing.software.lab1,Vehiculo,0,12,0,0,0,5,0,1,0,1
lab01-recordando-po-vh,cs.ing.software.lab1,Automovil,0,66,0,8,0,17,0,7,0,3
